name,image,classification,street_name_adress,parking,info,call,hardness,latitude,tag,,
낙동강승전기념관,0,관광지,대구광역시 남구 앞산공원로 574-110,유,"6. 25당시 마지막 저지선이었던 낙동강전적지를 기념하고, 참전용사들의 거룩한 얼을 기리기 위해 세운 곳으로 최근 호국보훈 관광명소로 떠오르고 있다.",053-621-9880,128.5887067,35.8271907,#VR체험 #비올때아이랑 #사진전시 #아이와체험 #야외전시장 #유물전시,,
고산골 공룡공원,0,관광지,대구 남구 용두2길 43,유,고산골 일대 1억년 전 중생대 백악기의 흔적을 볼 수 있는 곳으로 2017년 조성된 지 1년 만에 100만명이 넘는 관광객이 다녀갈 정도 최근 대구의 떠오르는 관광명소로 부각되고 있다.,053-664-2782,128.6037566,35.8294673,#단풍명소 #산책로 #아이와놀자 #포토존,,
앞산전망대,0,관광지,대구광역시 남구 앞산순환로 454,유,"한국관광 100선 선정, 대구시가지 전경을 한눈에 내려다볼 수 있는 대표 야간관광지",053-803-5450,128.5794424,35.8247849,#나들이 #벚꽃명소 #일출명소,,
앞산케이블카,0,관광지,대구광역시 남구 앞산순환로 454,유,"앞산공원내 큰골 자락길에 위치하고 있으며 승차정원 48명, 초속 3.5미터로 편도 5분정도 소요",053-656-2994,128.5870873,35.8243291,#나들이 #벚꽃명소 #포토존,,
앞산공원,0,관광지,대구광역시 남구 앞산공원로 574-87,유,도심에서 4.5㎞이내에 위치하여 시민들의 접근이 용이하고 자연경관이 수려하고 산림이 울창,053-625-0967,128.5891677,35.8287144,#걷기좋은 #나들이 #단풍명소 #산책로,,
앞산카페거리,0,관광지,대구광역시 남구 대명로 222,유,"2018년 한국관광의 별 선정,  25여 곳의 다양한 카페가 모여 있는 거리",053-664-2765,128.5793782,35.8365083,#나들이 #벚꽃명소,,
안지랑곱창골목,0,관광지,대구광역시 남구 안지랑로16길,유,"2015년 한국관광100선 선정, 전국 5대 음식테마거리로 선정, 2018년 한국관광의 별 선정",053-664-2765,128.5757544,35.8380567,#나들이,,
대덕문화전당,0,관광지,대구광역시 남구 앞산순환로 478,유,"공연, 전시, 문화강좌 등 많은 문화와 예술 프로그램을 진행하고, 남구 농악단, 남구 합창단 등 예술단의 활발한 활동을 토대로 지역 문화 발전에도 이바지 하고 있다.",053-664-3131,128.5770017,35.8313155,#문화예술공간 #뮤지컬공연 #미술전시 #소극장 #음악회,,
안일사,0,문화재,대구광역시 남구 앞산순환로 440,유,"대구광역시 남구 대명동 비슬산(琵瑟山)에 있는 사찰로 고려 태조 왕건(王建)이 후백제 견훤에게 패하여 이 곳에 숨은 적이 있으며, 그래서 이 절이 잇는 곳을 왕건이 앉았던 곳이라고 해서 안지랭이골이라고 부른다.",053-655-0225,128.5754401,35.82352772,#사찰 #한적한,,
은적사,0,문화재,대구광역시 남구 앞산순환로574-120,유,"견훤의 추격병들로부터 왕건이 숨어 3일간 보낸 굴이 있는 곳에다 당시의 고승 영도대사에 명해 숨을 은(隱), 자취 적(跡)자로 은적사라는 사찰을 건립하게 했다. 이것이 은적사가 생긴 유래이며 왕건이 숨은 굴을 은적굴이라 한다.",053-653-1572,128.5896843,35.82352753,#사찰 #한적한,,
법장사,0,문화재,대구광역시 남구 고산3길 96-4,유,"신라 말기에 창건, 임진왜란 때 모든 건물이 불에 타고 최근 복원된 삼층석탑만 남았다. 그 뒤 중창하면서 지금처럼 법장사로 이름을 바꾸었다. ",053-471-0414,128.5997222,35.8233333,#사찰 #한적한,,
서봉사,0,문화재,대구광역시 남구 명덕로54길 31,유,"서봉사는 비구니 스님들만 기거하는 절로 1920년에 창건되었으며,  조선 후기 및 일제 강점기의 소중한 불교문화 유산을 보존하고 있으며, 대구지역 불교계의 포교 중심 사찰이다.",053-471-4812,128.5973772,35.85430651,#사찰 #한적한,,
대봉배수지,0,문화재,대구광역시 남구 명덕로54길 6-3,유,대구 지역 최초의 수도 시설로 1918년 수도산 기슭에 대봉 1호 배수지를 건립하여 가창수원지에서 정수한 물을 공급받아 급수했다. 이 지역에서 가장 규모가 작은 근대 건축물이며 건축사적·생활사적 가치가 있는 건축물이다. ,053-664-3252,128.5966582,35.85481958,#자연,,
앞산별자리이야기터널,0,관광지,대구광역시 남구 대명동 1291,유,"앞산 지하보도에 꾸며진 터널로 광섬유 별자리, 어린왕자 컨셉의 조형물이 설치되어 있다.",053-664-2172,128.571176,35.83131588,#나들이 #산책로,,
스파크랜드,0,유원지,"대구광역시 중구 동성로6길 61, 7층 (공평동)",유,"대구의 새로운 랜드마크로 떠오른 장소로 놀이기구 외에도 다양한 즐길 거리가 많은 쇼핑몰이자 테마파크이다. 스파크랜드는 9층의 건물로 이루어져 있으며 1~4층에는 패션브랜드, 식당, 카페 등이 입점하여 있어 다양한 먹거리와 쇼핑이 가능하고, 5층 이상은 각종 놀이기구와 실내 스포츠시설이 있어 즐길 거리로 가득하다. 특히 7~9층 대관람차는 발아래로 경치를 즐길 수 있도록 관람차 바닥을 강화유리로 제작하여 색다른 경험을 하게 하며, 관람차에서 동성로는 물론 대구 시내가 멀리까지 조망된다. 특히 이곳의 일몰과 야경은 스파크랜드를 대구의 새로운 랜드마크로 부상하게 해 주었다. 8층의 스카이라운지와 9층 스파크스카이는 밤에 야간 조명을 밝혀 더욱 환상적인 분위기가 연출된다. 스파크랜드 면적은 타 테마파크에 비해 크지 않은 편이나, 층층이 포토존이나 예쁜 조형물과 볼거리, 놀거리 등을 잘 조성하여 다시 찾고 싶은 대구의 관광명소로 자리매김하고 있다.",053-766-1860,128.5987188,35.8686818,#아이와놀자 #포토존,,
칠곡향교,0,문화체험,대구 북구 칠곡중앙대로 597,유,"칠곡은 예로부터 영남의 유서 깊은 문향이며 호국 충절의 고장으로 알려져왔다. 칠곡향교는 대구 신도시 칠곡지구 도심 가운데 자리하고 있으며 향교 정문 옆에는 하마비가 세워져 있다. 조선 태조 7년(1398년)에 창건된 것으로 추정되나 고증할 수 있는 문헌이 남아있지 않고 현 위치에는 조선 인조 임오년(1642년)에 창건된 것으로 기록되고 있다. 현재의 모습은 전학후묘의 전형적인 모습으로 외삼문을 지나면 멍륜당이 자리하고 뒷편으로 대성전, 동무, 서무가 위치하고 있다. 대성전은 공자를 비롯한 여러 성현들에게 제사 지내는 곳이며, 조선시대에는 나라에서 토지와 노비, 책 등을 지원받아 학생을 가르쳤으나 지금은 교육 기능은 없어지고 제사 기능만 남아 있다. 현재도 봄,가을 석전대제를 올리고 있으며 대성전에서 볼 수 있는 오래된 은행나무는 이곳이 대성전 공간임을 알려나 주듯이 오랜 세월을 지키고 있어 가을이면 노란 단풍과 함께 향교를 빛나게 하고 있다. 2013년 전통문화체험관인 양현당을 건립하여 기로연, 전통혼례를 비롯한 전통행사와 지역 청소년들과 지역민을 대상으로 서예교실, 충효교실 등의 교양강좌을 운영하고 있다. ",053-322-0430,128.5511417,35.9491756,#자연 #한적한 #향교,,
구암서원,0,문화체험,대구 북구 산격동 산79-1,유,"구암서원(龜巖書院)은 대구광역시 북구 산격동에 있는 서원이다. 1975년 2월 5일에 '건조물 경북 제2호'로 지정, 1982년 3월 4일에 대구광역시의 문화재자료 제2호로 지정되었다.",053-959-7202,128.5990298,35.89879,#단풍명소 #잔디마당,,
동촌유원지,0,기타유원시설업,대구광역시 동구 효목동 1114-1,유,"동촌유원지는 금호강변에 조성되어있으며 면적은 145만㎡(44만평)이다. 1965년 유원지로 지정되었다. 동촌유원지에는 해맞이다리, 유선장, 체육시설, 유기장 및 상가 약 80여 곳 등 각종 위락시설, 영남 제1관, 자전거 경기장, 실내 롤러 스케이트장 등이 위치해있으며 오리배, 모터보트도 탈 수 있다. 대구광역시는 2008년에 자전거도로와 산책로를 새롭게 단장하였고 시내에있던 대구기상청도 이곳으로 옮겨왔다. 금호강변 산책로를 통해 아양기찻길~망우당공원까지 산책이 가능하다.",-,128.650473,35.88266828,#걷기좋은 #단풍명소 #벚꽃명소 #산책로 #아이와놀자 #일출명소 #차박 #포토존,,
대구기상과학관,0,기타유원시설업,대구광역시 동구 효동로2길 10,유,날씨를 보고 체험하고 느끼는 과학관 날씨에 대해 궁금하다면? 국립 대구기상과학관으로 놀러오세요,053-953-0365,128.6539001,35.8782158,#VR체험 #과학공작소 #방문체험학습 #비올때아이랑 #사진전시 #아이와체험 #아이와함께 #어린이체험관 #이동약자접근 #현장체험학습,,
수성랜드,0,기타유원시설업,수성구 용학로 35-5 (상동),유,아르떼 수성랜드는 대구 최초의 놀이공원 입니다,053-762-6622,128.6137133,35.82758988,#놀이공원 #대구가볼만한곳 #수성못 #아이와함께 #어린이테마파크 #단풍명소 #벚꽃명소 #아이와놀자 #포토존,,
이월드,0,기타유원시설업,대구광역시 달서구 두류공원로 200(두류동),유,"이월드는 1987년 10월 타워건립 및 종합테마파크 조성공사 재 착공을 시작으로 1993년 종합 테마파크 마스트플랜을 확정한 후 1995년 3월 개장한 폭포, 분수, 조명, 꽃으로 장식된 유럽식 도시공원으로 남녀노소 누구나 즐길 수 있는 놀이기구, 전시. 예술공간, 깔끔한 식당가 등이 마련되어 있다. 이월드에는 각 테마별로 광장을 만들어 방문객으로 하여금 새로움과 즐거움을 선사하고 있다. 매표소를 거쳐 들어서는 입구에 진입광장, 랜드의 중앙에 위치한 중앙광장, 어린이들의 놀이터 어린이광장, 젊은이들을 위한 공간이 영타운광장 등이 대표적인 광장이다.",070-7549-8112,128.5658028,35.85347913,#대구갈만한곳 #대구여행 #대구이월드 #아이와함께 #눈썰매 #벚꽃명소 #아이와놀자 #포토존 #핑크뮬리명소 #카카오페이 #제로페이,,
스파밸리,0,기타유원시설업, 달성군 가창면 가창로 891,유,겨울 온천수로 즐기는 워터파크 스파밸리!,1688-8511,128.635446,35.7880646,#물놀이 #아이와놀자 #카카오페이 #제로페이,,
네이처파크,0,기타유원시설업,달성군 가창면 가창로 891,유,"12만평 부지의 식물원 내 초대형 글라스하우스 동물원과 방사형 야외 동물원으로 구성된 네이처파크는 50여종, 300마리 이상의 동물. 350여종의 수목, 100여종 이상의 다양한 꽃들이 공존하는 전국 최초 교감형 생태 동물원 입니다.",1688-8511,128.6359076,35.7878935,#나들이 #산책로 #포토존,,
석가사,0,지역사찰,대구 수성구 달구벌대로568길 23,유,-,053-791-8137,128.6676405,35.8460372,#사찰 #한적한,,
본리지,0,지역호수/저수지,대구 달성군 화원읍 본리리,유,-,-,128.4527962,35.78723393,#자연 #한적한 #저수지,,
송촌지,0,지역호수/저수지,대구 달성군 옥포읍 송촌리,유,-,-,128.477784,35.76074234,#자연 #한적한 #저수지,,
중촌지,0,지역호수/저수지,대구 달성군 가창면 단산리,유,-,-,128.6614172,35.76367944,#자연 #한적한 #저수지,,
망월지,0,지역호수/저수지,대구 수성구 욱수동 416,유,-,-,128.7048928,35.82672673,#봄나들이,,
대한불교진각종,0,지역사찰,대구 북구 칠곡중앙대로 518-18,유,-,053-326-0751,128.5190335,35.80906287,#사찰 #한적한,,
만덕사,0,지역사찰,대구 서구 달서로 258,유,-,053-351-2187,128.5739516,35.88496383,#사찰 #한적한,,
사문진주막촌,0,일반관광지,대구 달성군 화원읍 사문진로1길 40-12,유,http://www.dssiseol.or.kr/,053-659-4465,128.4778207,35.81092704,#특산물 #먹거리,,
감천사,0,지역사찰,대구 동구 갓바위로 142-6,유,-,-,128.7211334,35.96549809,#사찰 #한적한,,
죽림사,0,지역사찰,대구 수성구 천을로 9-13,유,-,053-792-2645,128.6568701,35.73047701,#사찰 #한적한,,
대덕사,0,지역사찰,대구 남구 성당로 122 2층,유,-,-,128.5861977,35.82701002,#사찰 #한적한,,
보현사,0,지역사찰,대구 달서구 월곡로26안길 75,유,-,010-3625-2212,128.6218646,35.9972915,#사찰 #한적한,,
